close_time,created_time,event_ticker,expected_expiration_time,expiration_time,expiration_value,floor_strike,latest_expiration_time,occurrence_datetime,open_time,result,settlement_ts,status,strike_type,ticker,title,updated_time,volume_fp,yes_sub_title
2026-05-28T23:45:00Z,2026-05-28T00:01:44.524448Z,KXBTC15M-26MAY281945,2026-05-28T23:50:00Z,2026-06-04T23:45:00Z,73505.71,73585.21,2026-06-04T23:45:00Z,2026-05-28T23:50:00Z,2026-05-28T23:30:00Z,no,2026-05-28T23:45:07.22226Z,finalized,greater_or_equal,KXBTC15M-26MAY281945-45,BTC price up in next 15 mins?,2026-05-28T23:45:07.302503Z,570023.50,"Target Price: $73,585.21"
2026-05-28T23:30:00Z,2026-05-28T00:01:44.102753Z,KXBTC15M-26MAY281930,2026-05-28T23:35:00Z,2026-06-04T23:30:00Z,73585.21,73483.96,2026-06-04T23:30:00Z,2026-05-28T23:35:00Z,2026-05-28T23:15:00Z,yes,2026-05-28T23:30:07.220737Z,finalized,greater_or_equal,KXBTC15M-26MAY281930-30,BTC price up in next 15 mins?,2026-05-28T23:30:07.300581Z,534359.28,"Target Price: $73,483.96"
2026-05-28T23:15:00Z,2026-05-28T00:01:43.683055Z,KXBTC15M-26MAY281915,2026-05-28T23:20:00Z,2026-06-04T23:15:00Z,73483.96,73371.49,2026-06-04T23:15:00Z,2026-05-28T23:20:00Z,2026-05-28T23:00:00Z,yes,2026-05-28T23:15:07.222084Z,finalized,greater_or_equal,KXBTC15M-26MAY281915-15,BTC price up in next 15 mins?,2026-05-28T23:15:07.346259Z,456979.70,"Target Price: $73,371.49"
2026-05-28T23:00:00Z,2026-05-28T00:01:43.253491Z,KXBTC15M-26MAY281900,2026-05-28T23:05:00Z,2026-06-04T23:00:00Z,73371.49,73413.42,2026-06-04T23:00:00Z,2026-05-28T23:05:00Z,2026-05-28T22:45:00Z,no,2026-05-28T23:00:07.220315Z,finalized,greater_or_equal,KXBTC15M-26MAY281900-00,BTC price up in next 15 mins?,2026-05-28T23:00:07.339764Z,553978.82,"Target Price: $73,413.42"
2026-05-28T22:45:00Z,2026-05-28T00:01:42.810871Z,KXBTC15M-26MAY281845,2026-05-28T22:50:00Z,2026-06-04T22:45:00Z,73413.42,73523.99,2026-06-04T22:45:00Z,2026-05-28T22:50:00Z,2026-05-28T22:30:00Z,no,2026-05-28T22:45:07.222617Z,finalized,greater_or_equal,KXBTC15M-26MAY281845-45,BTC price up in next 15 mins?,2026-05-28T22:45:07.503259Z,434940.27,"Target Price: $73,523.99"
2026-05-28T22:30:00Z,2026-05-28T00:01:42.358983Z,KXBTC15M-26MAY281830,2026-05-28T22:35:00Z,2026-06-04T22:30:00Z,73523.99,73612.03,2026-06-04T22:30:00Z,2026-05-28T22:35:00Z,2026-05-28T22:15:00Z,no,2026-05-28T22:30:07.2212Z,finalized,greater_or_equal,KXBTC15M-26MAY281830-30,BTC price up in next 15 mins?,2026-05-28T22:30:07.322912Z,533270.91,"Target Price: $73,612.03"
2026-05-28T22:15:00Z,2026-05-28T00:01:41.826845Z,KXBTC15M-26MAY281815,2026-05-28T22:20:00Z,2026-06-04T22:15:00Z,73612.03,73734.24,2026-06-04T22:15:00Z,2026-05-28T22:20:00Z,2026-05-28T22:00:00Z,no,2026-05-28T22:15:07.221572Z,finalized,greater_or_equal,KXBTC15M-26MAY281815-15,BTC price up in next 15 mins?,2026-05-28T22:15:07.303608Z,510290.43,"Target Price: $73,734.24"
2026-05-28T22:00:00Z,2026-05-28T00:01:41.413043Z,KXBTC15M-26MAY281800,2026-05-28T22:05:00Z,2026-06-04T22:00:00Z,73734.24,73802.15,2026-06-04T22:00:00Z,2026-05-28T22:05:00Z,2026-05-28T21:45:00Z,no,2026-05-28T22:00:07.224229Z,finalized,greater_or_equal,KXBTC15M-26MAY281800-00,BTC price up in next 15 mins?,2026-05-28T22:00:07.358483Z,454622.62,"Target Price: $73,802.15"
2026-05-28T21:45:00Z,2026-05-28T00:01:40.984552Z,KXBTC15M-26MAY281745,2026-05-28T21:50:00Z,2026-06-04T21:45:00Z,73802.15,73606.63,2026-06-04T21:45:00Z,2026-05-28T21:50:00Z,2026-05-28T21:30:00Z,yes,2026-05-28T21:45:07.222453Z,finalized,greater_or_equal,KXBTC15M-26MAY281745-45,BTC price up in next 15 mins?,2026-05-28T21:45:07.338441Z,446157.94,"Target Price: $73,606.63"
2026-05-28T21:30:00Z,2026-05-28T00:01:40.549423Z,KXBTC15M-26MAY281730,2026-05-28T21:35:00Z,2026-06-04T21:30:00Z,73606.63,73580.56,2026-06-04T21:30:00Z,2026-05-28T21:35:00Z,2026-05-28T21:15:00Z,yes,2026-05-28T21:30:07.224935Z,finalized,greater_or_equal,KXBTC15M-26MAY281730-30,BTC price up in next 15 mins?,2026-05-28T21:30:07.323457Z,441014.15,"Target Price: $73,580.56"
